,fitness_instance_1,time_instance_1,fitness_instance_2,time_instance_2,fitness_instance_3,time_instance_3,fitness_instance_4,time_instance_4,fitness_instance_5,time_instance_5,fitness_instance_6,time_instance_6,fitness_instance_7,time_instance_7,fitness_instance_8,time_instance_8,configuration,average_fitness_across_instances,average_elapsed_time_across_instances,rank_instance_1,rank_instance_2,rank_instance_3,rank_instance_4,rank_instance_5,rank_instance_6,rank_instance_7,rank_instance_8,average_rank,median_rank
22,47.0,0.1015747388203938,55.666666666666664,0.0962414741516113,2216.3333333333335,0.8141549428304037,2388.3333333333335,1.0841196378072102,76368.33333333333,11.817063331604004,852.9766666666669,5.766921361287435,1295.4399999999998,14.111711422602337,1349.19,11.776516993840536,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",10571.659166666666,5.696037987867991,17.0,2.0,19.0,6.0,1.0,8.0,7.0,23.0,10.375,7.5
5,51.333333333333336,0.089268684387207,58.0,0.0951825777689616,2323.0,0.605063279469808,2422.3333333333335,0.739939292271932,82326.33333333333,8.02521816889445,1052.326666666667,4.155154625574748,1358.32,13.82308864593506,1206.496666666667,13.320982058842976,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",11349.767916666668,5.106737166643143,45.0,12.0,38.0,10.0,12.0,26.0,13.0,6.0,20.25,12.5
8,45.333333333333336,0.2859269777933756,62.333333333333336,0.3006667296091715,2271.3333333333335,2.344414710998535,2570.6666666666665,2.8772284984588623,78815.66666666667,23.66124129295349,970.49,13.381440957387287,1224.97,38.71533989906311,1235.2933333333333,29.83180435498555,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",10899.510833333336,13.924757927656174,9.0,33.0,30.0,33.0,5.0,18.0,4.0,9.0,17.625,13.5
12,49.333333333333336,0.0565383434295654,66.33333333333333,0.074040412902832,2120.3333333333335,0.4431309700012207,2578.0,0.4732829729715983,81219.33333333333,6.081674734751384,940.4566666666668,2.579993565877279,1342.6899999999998,6.565703789393107,1288.0566666666666,5.919167757034302,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'replace_worst_genitor'}",11200.567083333332,2.7741915682951612,31.0,44.0,9.0,35.0,10.0,15.0,11.0,13.0,21.0,14.0
25,45.0,0.1413507461547851,58.333333333333336,0.1319561004638672,2175.0,1.0197323163350422,2480.3333333333335,0.9565274715423584,82775.0,10.98553498586019,982.4500000000002,7.316457668940227,1374.6233333333337,13.9038614432017,1374.833333333333,15.69936259587606,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",11408.196666666669,6.269347916046779,6.0,14.0,14.0,17.0,14.0,19.0,15.0,26.0,15.625,14.5
27,44.666666666666664,0.1276773611704508,56.0,0.1279775301615397,2092.6666666666665,1.023309310277303,2373.0,1.0622975031534831,94106.66666666669,6.70304814974467,1055.7833333333338,6.126703341801961,1590.7299999999998,12.790025393168133,1391.756666666667,13.761301438013712,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",12838.90875,5.215292503436406,4.0,3.0,5.0,5.0,34.0,27.0,30.0,28.0,17.0,16.0
4,52.333333333333336,0.059610366821289,66.33333333333333,0.0712307294209798,2201.0,0.5427689552307129,2456.3333333333335,0.4737695852915446,77971.0,7.281244993209839,1246.996666666667,2.911973237991333,1331.3099999999995,11.027243614196776,1202.1266666666663,10.079508463541666,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",10815.929166666669,4.0559187432130175,51.0,44.0,18.0,14.0,3.0,50.0,9.0,5.0,24.25,16.0
11,45.333333333333336,0.1100497245788574,62.0,0.0969870090484619,2268.3333333333335,0.8764823277791342,2396.3333333333335,1.1498040358225503,82729.33333333333,8.83837087949117,985.1700000000002,5.1025809446970625,1430.0266666666666,14.147166967391968,1273.2799999999995,14.77953306833903,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",11398.72625,5.637621869643529,9.0,29.0,27.0,8.0,13.0,20.0,19.0,12.0,17.125,16.0
14,48.666666666666664,0.0694280465443929,62.666666666666664,0.0789525508880615,2269.3333333333335,0.5084684689839681,2331.3333333333335,0.4819923241933186,79332.66666666667,4.944999694824219,902.8000000000002,3.288691759109497,1387.0066666666662,7.319297870000203,1297.9399999999998,7.952332814534505,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'lambda_mu'}",10954.051666666668,3.0805204411347704,28.0,35.0,28.0,1.0,7.0,12.0,18.0,15.0,18.0,16.5
42,46.0,0.0935926437377929,59.666666666666664,0.0853946208953857,2115.3333333333335,0.8845716317494711,2476.6666666666665,0.7139724095662435,96085.33333333331,5.569374402364095,876.9700000000003,3.747288942337036,1584.5233333333338,10.83952490488688,1617.2699999999998,8.367299795150757,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",13107.720416666669,3.7876274188359575,14.0,19.0,8.0,16.0,37.0,10.0,29.0,43.0,22.0,17.5
3,45.333333333333336,0.0871250629425048,60.333333333333336,0.1009225845336914,2338.6666666666665,0.6162633895874023,2572.3333333333335,0.7573819160461426,78402.33333333333,7.275534947713216,1111.7266666666667,4.240285634994507,1374.07,10.438326676686604,1186.1866666666665,10.584152539571129,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",10886.372916666667,4.262499094009399,9.0,21.0,42.0,34.0,4.0,31.0,14.0,4.0,19.875,17.5
26,46.666666666666664,0.0432744820912679,67.66666666666667,0.0562580426534016,2199.6666666666665,0.3271498680114746,2486.3333333333335,0.4403162797292073,81237.0,4.233028729756673,1008.8433333333334,2.8482302824656167,1459.1199999999997,4.786017656326294,1376.6866666666665,5.3478686809539795,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",11235.247916666664,2.2602680027484894,15.0,50.0,17.0,18.0,11.0,22.0,20.0,27.0,22.5,19.0
17,47.0,0.05656099319458,60.0,0.0871566931406657,2756.3333333333335,0.3742700417836507,3001.6666666666665,0.3864676157633464,91692.66666666669,3.5837953885396323,723.8966666666669,2.6684276262919107,1201.4799999999998,6.486968278884888,1313.046666666666,5.440105040868123,"{'mutation_operator': 'inversion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'replace_worst_genitor'}",12599.51125,2.3854689598083496,17.0,20.0,109.0,110.0,27.0,2.0,2.0,18.0,38.125,19.0
21,47.333333333333336,0.0631810824076334,61.333333333333336,0.1001929442087809,2617.0,0.3658716678619385,2923.3333333333335,0.3305697441101074,85039.0,5.002418756484985,797.4700000000003,2.9679606755574546,1269.0866666666666,8.45359436670939,1344.36,6.102321624755859,"{'mutation_operator': 'inversion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",11762.364583333334,2.9232638577620187,19.0,27.0,98.0,97.0,15.0,5.0,5.0,22.0,36.0,20.5
13,48.333333333333336,0.2961171468098958,57.666666666666664,0.4953320821126302,2127.3333333333335,2.4837867418924966,2665.0,1.8847273190816245,87780.33333333333,14.861332654953005,1105.7500000000002,10.220597743988035,1582.0666666666668,15.471277952194214,1290.4933333333329,22.604169368743896,"{'mutation_operator': 'insertion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",12082.122083333332,8.539667626221974,25.0,10.0,12.0,44.0,18.0,30.0,28.0,14.0,22.625,21.5
0,49.666666666666664,0.0760269165039062,60.666666666666664,0.1109081904093424,2668.3333333333335,0.3865319887797038,2945.3333333333335,0.4402596950531006,89967.0,5.547364314397176,846.0233333333335,2.633710702260335,1179.8533333333332,7.684569597244263,1102.1466666666668,8.592100699742636,"{'mutation_operator': 'inversion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",12352.377916666666,3.183934013048808,36.0,23.0,103.0,100.0,21.0,6.0,1.0,1.0,36.375,22.0
10,53.0,0.0894656181335449,59.0,0.112139622370402,2755.3333333333335,0.39097793896993,2891.6666666666665,0.4280993143717448,91504.0,4.36612343788147,668.6700000000004,3.368610699971517,1274.5566666666666,8.972622156143188,1252.8566666666668,7.313236474990845,"{'mutation_operator': 'inversion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",12557.385416666668,3.13015940785408,54.0,18.0,108.0,89.0,26.0,1.0,6.0,11.0,39.125,22.0
9,48.333333333333336,0.0413463115692138,61.666666666666664,0.0439333915710449,2313.3333333333335,0.2470746040344238,2496.3333333333335,0.275330384572347,76745.0,3.530409097671509,1132.236666666667,1.598330020904541,1337.2733333333333,5.523435274759929,1249.6766666666665,6.5124727090199785,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",10672.981666666668,2.221541474262873,25.0,28.0,34.0,21.0,2.0,36.0,10.0,10.0,20.75,23.0
52,43.666666666666664,0.4639259974161784,57.666666666666664,0.4203897317250569,2088.0,3.6677088737487793,2587.6666666666665,2.7245035966237388,103507.0,12.749016205469768,923.1133333333332,14.98935572306315,1810.99,14.096929868062338,1765.736666666667,18.275679111480713,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",14097.98,8.423438638448715,1.0,10.0,4.0,36.0,47.0,14.0,48.0,53.0,26.625,25.0
