,fitness_instance_1,time_instance_1,fitness_instance_2,time_instance_2,fitness_instance_3,time_instance_3,fitness_instance_4,time_instance_4,fitness_instance_5,time_instance_5,fitness_instance_6,time_instance_6,fitness_instance_7,time_instance_7,fitness_instance_8,time_instance_8,configuration,average_fitness_across_instances,average_elapsed_time_across_instances,rank_instance_1,rank_instance_2,rank_instance_3,rank_instance_4,rank_instance_5,rank_instance_6,rank_instance_7,rank_instance_8,average_rank,median_rank
1,46.666666666666664,0.0714251995086669,60.0,0.0852650006612141,2193.6666666666665,0.5872905254364014,2379.3333333333335,0.5611283779144287,78711.33333333333,7.178454240163167,833.5166666666668,5.378980080286662,1231.9333333333336,11.736701250076294,1107.7599999999998,12.946883042653402,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",10820.52625,4.818265964587529,20,27,19,8,8,10,11,3,13.25,10.5
5,46.0,0.1712869008382161,56.333333333333336,0.1803441047668457,2334.0,18.95259674390157,2345.3333333333335,1.2124507427215576,78962.66666666667,80.55477873484294,775.4900000000004,29.161643664042156,1187.4133333333334,11.47972313563029,1204.4466666666665,9.358370780944824,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",10863.960416666669,18.883899350961048,18,8,58,2,11,3,6,11,14.625,9.5
0,47.0,0.1015747388203938,55.666666666666664,0.0962414741516113,2216.3333333333335,0.8141549428304037,2388.3333333333335,1.0841196378072102,76368.33333333333,11.817063331604004,852.9766666666669,5.766921361287435,1295.4399999999998,14.111711422602337,1349.19,11.776516993840536,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",10571.659166666666,5.696037987867991,23,2,24,9,2,14,14,30,14.75,14.0
4,50.0,0.0785432656606038,56.0,0.0941643714904785,2313.3333333333335,0.5883706410725912,2439.6666666666665,0.7117836475372314,77253.0,8.142685333887735,822.6133333333336,3.3585917154947915,1220.636666666667,12.719993670781454,1173.4366666666665,8.268725395202637,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",10666.085833333333,4.24535725514094,51,4,48,21,4,8,9,6,18.875,8.5
0,47.333333333333336,0.0615740617116292,63.333333333333336,0.0872113704681396,2275.3333333333335,0.5503830909729004,2415.0,0.4846093654632568,78547.0,6.690231482187907,849.2033333333338,3.130528291066488,1158.1733333333334,8.965716282526651,1103.01,7.563882112503052,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'lambda_mu'}",10807.298333333334,3.441767007112503,25,53,41,13,7,13,2,2,19.5,13.0
3,52.0,0.0522107283274332,62.0,0.0770275592803955,2258.6666666666665,0.5497380097707113,2422.6666666666665,0.365433931350708,75424.66666666667,4.119417587916057,793.916666666667,3.4550063610076904,1166.4166666666663,8.229132811228434,1154.923333333333,6.374271869659424,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'replace_worst_genitor'}",10416.907083333335,2.902779857317607,65,40,33,15,1,6,3,5,21.0,10.5
4,45.0,0.1413507461547851,58.333333333333336,0.1319561004638672,2175.0,1.0197323163350422,2480.3333333333335,0.9565274715423584,82775.0,10.98553498586019,982.4500000000002,7.316457668940227,1374.6233333333337,13.9038614432017,1374.833333333333,15.69936259587606,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",11408.196666666669,6.269347916046779,7,21,16,27,21,30,22,34,22.25,21.5
6,48.333333333333336,0.0461819966634114,66.33333333333333,0.0493832429250081,2145.0,0.4375130335489909,2443.3333333333335,0.46235458056132,79349.0,3.911010185877482,869.296666666667,2.3423516750335693,1179.6366666666668,7.676256577173869,1206.76,4.482852379480998,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",10913.461666666666,2.425987958908081,32,67,14,22,13,16,4,13,22.625,15.0
12,45.0,0.1256309350331624,57.333333333333336,0.1190692583719889,2244.3333333333335,0.9589996337890624,2427.3333333333335,1.1110352675120037,83752.66666666667,10.222915569941202,874.1400000000003,7.609721342722575,1443.1366666666663,14.893823941548666,1462.2666666666669,12.551801522572836,"{'mutation_operator': 'mixed', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",11538.27625,5.949124683936438,7,14,30,17,23,17,29,45,22.75,20.0
7,45.333333333333336,0.1100497245788574,62.0,0.0969870090484619,2268.3333333333335,0.8764823277791342,2396.3333333333335,1.1498040358225503,82729.33333333333,8.83837087949117,985.1700000000002,5.1025809446970625,1430.0266666666666,14.147166967391968,1273.2799999999995,14.77953306833903,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",11398.72625,5.637621869643529,11,40,36,11,20,31,27,19,24.375,23.5
5,44.666666666666664,0.1276773611704508,56.0,0.1279775301615397,2092.6666666666665,1.023309310277303,2373.0,1.0622975031534831,94106.66666666669,6.70304814974467,1055.7833333333338,6.126703341801961,1590.7299999999998,12.790025393168133,1391.756666666667,13.761301438013712,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",12838.90875,5.215292503436406,4,4,6,7,57,40,45,37,25.0,22.0
7,45.333333333333336,0.0860203107198079,57.333333333333336,0.093757152557373,2269.0,0.8954732418060303,2423.0,1.032332420349121,86832.66666666667,8.11330795288086,906.0766666666668,4.89270806312561,1543.4900000000005,10.59358008702596,1355.403333333333,11.770685036977133,"{'mutation_operator': 'mixed', 'crossover_operator': 'pmx', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",11929.037916666668,4.684733033180237,11,14,37,16,29,21,40,32,25.0,25.0
2,50.333333333333336,0.3099510669708252,60.0,0.4820326964060465,2284.3333333333335,1.8654223283131917,2566.6666666666665,2.247494697570801,81230.0,21.18134872118632,825.7300000000001,9.562582015991213,1101.0333333333335,25.803286631902058,1149.2133333333331,24.821433067321777,"{'mutation_operator': 'mixed', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",11158.41375,10.78419390320778,55,27,42,47,17,9,1,4,25.25,22.0
8,48.666666666666664,0.0694280465443929,62.666666666666664,0.0789525508880615,2269.3333333333335,0.5084684689839681,2331.3333333333335,0.4819923241933186,79332.66666666667,4.944999694824219,902.8000000000002,3.288691759109497,1387.0066666666662,7.319297870000203,1297.9399999999998,7.952332814534505,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'lambda_mu'}",10954.051666666668,3.0805204411347704,37,49,38,1,12,20,25,22,25.5,23.5
2,45.333333333333336,0.2859269777933756,62.333333333333336,0.3006667296091715,2271.3333333333335,2.344414710998535,2570.6666666666665,2.8772284984588623,78815.66666666667,23.66124129295349,970.49,13.381440957387287,1224.97,38.71533989906311,1235.2933333333333,29.83180435498555,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",10899.510833333336,13.924757927656174,11,46,40,50,9,28,10,16,26.25,22.0
11,48.666666666666664,0.0973478158315022,56.666666666666664,0.1397799650828043,2300.6666666666665,0.5858547687530518,2363.3333333333335,0.8243573506673177,87589.66666666667,7.563646713892619,947.986666666667,5.9130222002665205,1432.5433333333328,13.393134037653605,1409.693333333333,10.40061902999878,"{'mutation_operator': 'mixed', 'crossover_operator': 'pmx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",12018.652916666666,4.864720235268275,37,10,45,6,31,25,28,43,28.125,29.5
10,45.333333333333336,0.0871250629425048,60.333333333333336,0.1009225845336914,2338.6666666666665,0.6162633895874023,2572.3333333333335,0.7573819160461426,78402.33333333333,7.275534947713216,1111.7266666666667,4.240285634994507,1374.07,10.438326676686604,1186.1866666666665,10.584152539571129,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'lambda_mu'}",10886.372916666667,4.262499094009399,11,30,60,51,6,48,21,9,29.5,25.5
1,51.333333333333336,0.089268684387207,58.0,0.0951825777689616,2323.0,0.605063279469808,2422.3333333333335,0.739939292271932,82326.33333333333,8.02521816889445,1052.326666666667,4.155154625574748,1358.32,13.82308864593506,1206.496666666667,13.320982058842976,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",11349.767916666668,5.106737166643143,61,19,53,14,19,39,20,12,29.625,19.5
17,48.333333333333336,0.0413463115692138,61.666666666666664,0.0439333915710449,2313.3333333333335,0.2470746040344238,2496.3333333333335,0.275330384572347,76745.0,3.530409097671509,1132.236666666667,1.598330020904541,1337.2733333333333,5.523435274759929,1249.6766666666665,6.5124727090199785,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",10672.981666666668,2.221541474262873,32,39,48,31,3,54,17,17,30.125,31.5
3,49.333333333333336,0.0565383434295654,66.33333333333333,0.074040412902832,2120.3333333333335,0.4431309700012207,2578.0,0.4732829729715983,81219.33333333333,6.081674734751384,940.4566666666668,2.579993565877279,1342.6899999999998,6.565703789393107,1288.0566666666666,5.919167757034302,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'replace_worst_genitor'}",11200.567083333332,2.7741915682951612,41,67,10,52,16,24,18,20,31.0,22.0
11,46.666666666666664,0.0432744820912679,67.66666666666667,0.0562580426534016,2199.6666666666665,0.3271498680114746,2486.3333333333335,0.4403162797292073,81237.0,4.233028729756673,1008.8433333333334,2.8482302824656167,1459.1199999999997,4.786017656326294,1376.6866666666665,5.3478686809539795,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",11235.247916666664,2.2602680027484894,20,80,20,28,18,35,30,35,33.25,29.0
9,46.0,0.0935926437377929,59.666666666666664,0.0853946208953857,2115.3333333333335,0.8845716317494711,2476.6666666666665,0.7139724095662435,96085.33333333331,5.569374402364095,876.9700000000003,3.747288942337036,1584.5233333333338,10.83952490488688,1617.2699999999998,8.367299795150757,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'uniform', 'population_replacement_strategy': 'lambda_mu'}",13107.720416666669,3.7876274188359575,18,26,9,26,61,18,44,67,33.625,26.0
14,48.333333333333336,0.2961171468098958,57.666666666666664,0.4953320821126302,2127.3333333333335,2.4837867418924966,2665.0,1.8847273190816245,87780.33333333333,14.861332654953005,1105.7500000000002,10.220597743988035,1582.0666666666668,15.471277952194214,1290.4933333333329,22.604169368743896,"{'mutation_operator': 'insertion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'tournament', 'population_replacement_strategy': 'lambda_mu'}",12082.122083333332,8.539667626221974,32,16,13,68,32,45,43,21,33.75,32.0
